student_id,gender,school_type,parent_edu,commute_min,prior_gpa,attendance_pct,quiz_avg,assign_avg,midterm,study_hours_wk,on_time_submit_pct,lms_logins_wk,forum_posts,final_score,grade_band,passed
STU_00000,M,Public,Bachelor,30,1.99,64.1,49.1,40.5,63.1,15.6,78.0,26,0,70.7,B,1
STU_00001,F,Public,High School,18,2.35,87.1,93.5,92.0,72.7,2.9,61.3,24,1,94.6,A,1
STU_00002,F,Public,High School,100,2.54,71.6,55.6,57.1,59.8,5.1,74.7,1,0,90.4,A,1
STU_00003,F,Private,Bachelor,7,1.02,56.2,26.3,59.7,76.9,26.6,37.0,19,1,65.2,C,1
STU_00004,M,Public,Bachelor,26,3.6,100.0,97.3,50.6,71.6,14.8,98.6,19,2,100.0,A,1
STU_00005,M,Charter,Bachelor,36,1.0,79.1,76.6,47.4,43.1,9.6,53.3,2,1,59.7,D,0
STU_00006,M,Public,PhD,52,3.61,75.3,60.0,80.5,77.7,15.1,100.0,6,0,100.0,A,1
STU_00007,F,Private,High School,15,3.98,85.3,100.0,73.9,90.7,6.8,93.7,5,0,100.0,A,1
STU_00008,F,Private,Bachelor,34,1.29,86.4,32.3,44.0,28.3,9.5,50.5,8,0,63.5,C,1
STU_00009,F,Private,High School,10,2.19,95.0,48.6,25.0,80.4,8.4,67.2,0,0,70.3,B,1
STU_00010,M,Charter,Bachelor,17,1.65,61.2,20.0,60.2,61.4,18.5,75.8,8,2,60.1,C,1
STU_00011,F,Private,High School,67,1.55,84.7,73.9,55.2,86.2,40.0,100.0,3,0,100.0,A,1
STU_00012,F,Charter,High School,89,1.08,100.0,58.3,32.4,52.8,7.5,35.1,7,3,65.6,C,1
STU_00013,M,Public,High School,38,3.25,66.9,63.6,76.3,73.7,7.1,100.0,4,1,95.5,A,1
STU_00014,M,Public,High School,14,3.05,84.5,63.8,92.0,42.8,25.1,91.9,6,3,94.6,A,1
STU_00015,M,Public,Master,51,2.73,84.5,71.0,45.3,62.9,23.1,85.6,9,1,100.0,A,1
STU_00016,M,Public,Bachelor,5,3.23,75.1,75.3,40.9,47.6,25.4,89.0,15,2,98.5,A,1
STU_00017,F,Public,PhD,5,1.0,53.1,59.2,25.0,20.0,1.0,39.2,35,0,46.2,F,0
STU_00018,M,Public,Bachelor,32,1.76,56.2,36.4,53.7,20.0,4.2,85.4,6,0,74.1,B,1
STU_00019,M,Public,High School,10,1.54,67.4,68.0,39.6,36.8,14.7,86.0,4,0,65.6,C,1
STU_00020,F,Public,High School,90,1.99,58.2,61.1,80.2,47.9,5.1,100.0,8,1,79.1,B,1
STU_00021,M,Public,High School,17,1.27,44.8,22.8,34.9,44.1,4.4,64.2,9,2,41.6,F,0
STU_00022,M,Charter,High School,16,2.36,52.1,100.0,67.7,72.8,1.0,75.8,17,0,77.6,B,1
